INDICATOR,CODE,LENGTH
"5    Home Sold As Foreclosure - Ratio - All Homes
Name: INDICATOR, dtype: object",HSAFRAL,236
"6    Inventory Measure (Public)
Name: INDICATOR, dtype: object",IMP,96
"7    Inventory Measure - SSA (Public)
Name: INDICATOR, dtype: object",IMSP,96
"9    Listings Price Cuts (SA) All Homes
Name: INDICATOR, dtype: object",LPCSAL,101
"11    Listings Price Cuts (SA) Condominiums
Name: INDICATOR, dtype: object",LPCSCO,101
"13    Listings Price Cuts (SA) Single-Family Residence
Name: INDICATOR, dtype: object",LPCSSF,101
"16    Median Listing Price - All Homes
Name: INDICATOR, dtype: object",MLPAH,109
"17    Median Listing Price - Condo/Co-op
Name: INDICATOR, dtype: object",MLPCC,109
"18    Median Listing Price - Duplex/Triplex
Name: INDICATOR, dtype: object",MLPDT,109
"19    Median Listing Price - Five Or More Bedrooms
Name: INDICATOR, dtype: object",MLP5B,69
"20    Median Listing Price - Four Bedrooms
Name: INDICATOR, dtype: object",MLP4B,109
"21    Median Listing Price - One Bedroom
Name: INDICATOR, dtype: object",MLP1B,109
"22    Median Listing Price - Single-Family Residence
Name: INDICATOR, dtype: object",MLPSF,109
"23    Median Listing Price - Three Bedrooms
Name: INDICATOR, dtype: object",MLP3B,109
"24    Median Listing Price - Two Bedrooms
Name: INDICATOR, dtype: object",MLP2B,109
"25    Median Listing Price Per Square Foot - All Homes
Name: INDICATOR, dtype: object",MLPFAH,109
"26    Median Listing Price Per Square Foot - Condo/C...
Name: INDICATOR, dtype: object",MLPFCC,109
"27    Median Listing Price Per Square Foot - Duplex/...
Name: INDICATOR, dtype: object",MLPFDT,39
"28    Median Listing Price Per Square Foot - Five Or...
Name: INDICATOR, dtype: object",MLPF5B,109
"29    Median Listing Price Per Square Foot - Four Be...
Name: INDICATOR, dtype: object",MLPF4B,109
"30    Median Listing Price Per Square Foot - One Bed...
Name: INDICATOR, dtype: object",MLPF1B,109
"31    Median Listing Price Per Square Foot - Single-...
Name: INDICATOR, dtype: object",MLPFSF,109
"32    Median Listing Price Per Square Foot - Three B...
Name: INDICATOR, dtype: object",MLPF3B,109
"33    Median Listing Price Per Square Foot - Two Bed...
Name: INDICATOR, dtype: object",MLPF2B,109
"34    Median Price Cut Dollar - All Homes
Name: INDICATOR, dtype: object",MPCDAH,101
"35    Median Price Cut Dollar - Condo
Name: INDICATOR, dtype: object",MPCDCO,101
"36    Median Price Cut Dollar - Single-Family Residence
Name: INDICATOR, dtype: object",MPCDSF,101
"37    Median Price Of Reduction - All Homes
Name: INDICATOR, dtype: object",MPPRAH,101
"38    Median Price Of Reduction - Condo
Name: INDICATOR, dtype: object",MPPRCO,101
"39    Median Price Of Reduction - Single-Family Resi...
Name: INDICATOR, dtype: object",MPPRSF,101
"40    Median Rental Price - All Homes
Name: INDICATOR, dtype: object",MRPAH,96
"41    Median Rental Price - Condo/Co-op
Name: INDICATOR, dtype: object",MRPCC,97
"42    Median Rental Price - Duplex/Triplex
Name: INDICATOR, dtype: object",MRPDT,97
"43    Median Rental Price - Five Or More Bedrooms
Name: INDICATOR, dtype: object",MR51B,31
"44    Median Rental Price - Four Bedrooms
Name: INDICATOR, dtype: object",MRP4B,96
"45    Median Rental Price - Multi-Family Residence
Name: INDICATOR, dtype: object",MRPMF,107
"46    Median Rental Price - One Bedroom
Name: INDICATOR, dtype: object",MRP1B,97
"47    Median Rental Price - Single-Family Residence
Name: INDICATOR, dtype: object",MRPSF,96
"48    Median Rental Price - Studio
Name: INDICATOR, dtype: object",MRPST,95
"49    Median Rental Price - Three Bedrooms
Name: INDICATOR, dtype: object",MRP3B,96
"50    Median Rental Price - Two Bedrooms
Name: INDICATOR, dtype: object",MRP2B,29
"51    Median Rental Price Per Square Foot - All Homes
Name: INDICATOR, dtype: object",MRPFAH,107
"52    Median Rental Price Per Square Foot - Condo/Co-op
Name: INDICATOR, dtype: object",MRPFCC,97
"53    Median Rental Price Per Square Foot - Duplex/T...
Name: INDICATOR, dtype: object",MRPFDT,78
"54    Median Rental Price Per Square Foot - Five Or ...
Name: INDICATOR, dtype: object",MRPF5B,28
"55    Median Rental Price Per Square Foot - Four Bed...
Name: INDICATOR, dtype: object",MRPF4B,96
"56    Median Rental Price Per Square Foot - Multi-Fa...
Name: INDICATOR, dtype: object",MRPFMF,106
"57    Median Rental Price Per Square Foot - One Bedroom
Name: INDICATOR, dtype: object",MRPF1B,97
"58    Median Rental Price Per Square Foot - Single-F...
Name: INDICATOR, dtype: object",MRPFSF,97
"59    Median Rental Price Per Square Foot - Studio
Name: INDICATOR, dtype: object",MRPFST,88
"60    Median Rental Price Per Square Foot - Three Be...
Name: INDICATOR, dtype: object",MRPF3B,97
"61    Median Rental Price Per Square Foot - Two Bedr...
Name: INDICATOR, dtype: object",MRPF2B,30
"62    Median Sold Price - All Homes
Name: INDICATOR, dtype: object",MSPAH,243
"63    Median Sold Price Per Square Foot - All Homes
Name: INDICATOR, dtype: object",MSPFAH,255
"64    Median Sold Price Per Square Foot - Condo
Name: INDICATOR, dtype: object",MSPFCO,244
"65    Median Sold Price Per Square Foot - Single-Fam...
Name: INDICATOR, dtype: object",MSPFSF,244
"66    Median Value Per Square Foot - All Homes
Name: INDICATOR, dtype: object",MVALFAH,274
"68    Percent Of Homes Decreasing In Values - All Homes
Name: INDICATOR, dtype: object",PHDVAH,264
"69    Percent Of Homes Increasing In Values - All Homes
Name: INDICATOR, dtype: object",PHIVAH,264
"70    Percent Of Homes Selling For Gain - All Homes
Name: INDICATOR, dtype: object",PHSGAH,200
"71    Percent Of Homes Selling For Loss - All Homes
Name: INDICATOR, dtype: object",PHSLAH,200
"72    Percent Of Listings With Price Reductions - Al...
Name: INDICATOR, dtype: object",PLPRAH,101
"74    Percent Of Listings With Price Reductions - Condo
Name: INDICATOR, dtype: object",PLPRCO,101
"76    Percent Of Listings With Price Reductions - Si...
Name: INDICATOR, dtype: object",PLPRSF,101
"78    Percent Transactions That Are Previously Forec...
Name: INDICATOR, dtype: object",PTPFHAH,236
"79    Price To Rent Ratio - All Homes
Name: INDICATOR, dtype: object",PRRAH,100
"80    Turnover - All Homes
Name: INDICATOR, dtype: object",TURNAH,236
"81    Unsold Renos - All Homes
Name: INDICATOR, dtype: object",USRAH,122
"82    Zillow Home Value Index - All Homes
Name: INDICATOR, dtype: object",ZHVIAH,274
"84    Zillow Home Value Index - Bottom Tier Year-Ove...
Name: INDICATOR, dtype: object",ZHVIBTY,262
"85    Zillow Home Value Index - Bottom Tier
Name: INDICATOR, dtype: object",ZHVIBT,274
"86    Zillow Home Value Index - Condo
Name: INDICATOR, dtype: object",ZHVICO,274
"87    Zillow Home Value Index - Five Or More Bedrooms
Name: INDICATOR, dtype: object",ZHVI5B,274
"88    Zillow Home Value Index - Four Bedrooms
Name: INDICATOR, dtype: object",ZHVI4B,274
"89    Zillow Home Value Index - Middle Tier - Year-O...
Name: INDICATOR, dtype: object",ZHVIMTY,262
"90    Zillow Home Value Index - Middle Tier
Name: INDICATOR, dtype: object",ZHVIMT,274
"91    Zillow Home Value Index - One Bedroom
Name: INDICATOR, dtype: object",ZHVI1B,274
"92    Zillow Home Value Index - Single-Family Residence
Name: INDICATOR, dtype: object",ZHVISF,274
"93    Zillow Home Value Index - Three Bedrooms
Name: INDICATOR, dtype: object",ZHVI3B,274
"94    Zillow Home Value Index - Top Tier - Year-Over...
Name: INDICATOR, dtype: object",ZHVITTY,262
"95    Zillow Home Value Index - Top Tier
Name: INDICATOR, dtype: object",ZHVITT,274
"96    Zillow Home Value Index - Two Bedrooms
Name: INDICATOR, dtype: object",ZHVI2B,274
"98    Zillow Rental Index - All Homes Plus Multi-Family
Name: INDICATOR, dtype: object",ZRIAHMF,99
"100    Zillow Rental Index - All Homes
Name: INDICATOR, dtype: object",ZRIAH,99
"102    Zillow Rental Index - Multi-Family Residence
Name: INDICATOR, dtype: object",ZRIMFRR,99
"104    Zillow Rental Index - Single-Family Residence
Name: INDICATOR, dtype: object",ZRISFRR,99
"105    Zillow Rental Index Per Square Foot - All Homes
Name: INDICATOR, dtype: object",ZRIFAH,99
